|  |  | KU 0600-0800; KU 0809; KU 0819-0963; KU 0968-0969; KU 0987-0989; KU 0996-0999 |
| Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken |  | 0160 Bauten auf fremden Grundstücken; 0165 Geschäftsbauten; 0170 Fabrikbauten; 0175 Garagen; 0176 Außenanlagen; 0177 Hof- und Wegebefestigungen; 0178 Einrichtungen für Geschäfts-, Fabrik-, Wohn- und andere Bauten; 0179 Andere Bauten |
| Geleistete Anzahlungen und Anlagen im Bau |  | 0180 Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken; 0189 Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf fremden Grundstücken |
| Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken |  | 0190 Wohnbauten; 0191 Garagen; 0192 Außenanlagen; 0193 Hof- und Wegebefestigungen; 0194 Einrichtungen für Wohnbauten |
| Geleistete Anzahlungen und Anlagen im Bau |  | 0195 Wohnbauten im Bau auf fremden Grundstücken; 0199 Anzahlungen auf Wohnbauten auf fremden Grundstücken |
| Technische Anlagen und Maschinen |  | 0200 Technische Anlagen und Maschinen;0210 Maschinen;0220 Maschinengebundene Werkzeuge;0240 Technische Anlagen;0260 Transportanlagen und Ähnliches;0280 Betriebsvorrichtungen |
| Geleistete Anzahlungen und Anlagen im Bau |  | 0290 Technische Anlagen und Maschinen im Bau;0299 Anzahlungen auf technische Anlagen und Maschinen |
| Andere Anlagen, Betriebs- und Geschäftsausstattung |  | 0300 Andere Anlagen, Betriebs- und Geschäftsausstattung;0310 Andere Anlagen;0320 Pkw;0350 Lkw;0380 Sonstige Transportmittel;0400 Betriebsausstattung;0410 Geschäftsausstattung;0420 Büroeinrichtung;0430 Ladeneinrichtung;0440 Werkzeuge;0450 Einbauten in fremde Grundstücke;0460 Gerüst- und Schalungsmaterial;0480 Geringwertige Wirtschaftsgüter;0485 Wirtschaftsgüter (Sammelposten);0490 Sonstige Betriebs- und Geschäftsausstattung |
| Geleistete Anzahlungen und Anlagen im Bau |  | 0498 Andere Anlagen, Betriebs- und Geschäftsausstattung im Bau;0499 Anzahlungen auf andere Anlagen, Betriebs- und Geschäftsausstattung |
|  |  | Finanzanlagen |
| Anteile an verbundenen Unternehmen |  | 0500 Anteile an verbundenen Unternehmen (Anlagevermögen);0501 Anteile an verbundenen Unternehmen, Personengesellschaften;0502 Anteile an verbundenen Unternehmen, Kapitalgesellschaften;0503 Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Kapitalgesellschaften;0504 Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft |
| Ausleihungen an verbundene Unternehmen |  | 0505 Ausleihungen an verbundene Unternehmen;0506 Ausleihungen an verbundene Unternehmen, Personengesellschaften;0507 Ausleihungen an verbundene Unternehmen, Kapitalgesellschaften;0508 Ausleihungen an verbundene Unternehmen, Einzelunternehmen |
| Anteile an verbundenen Unternehmen |  | 0509 Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Personengesellschaften |
| Beteiligungen |  | 0510 Beteiligungen;0513 Typisch stille Beteiligungen;0516 Atypisch stille Beteiligungen;0517 Beteiligungen an Kapitalgesellschaften;0518 Beteiligigungen an Personengesellschaften;0519 Beteiligigung einer GmbH & Co. KG an einer Komplementär GmbH |
| Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht |  | 0520 Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht;0523 Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Personengesellschaften;0524 Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Kapitalgesellschaften |
| Wertpapiere des Anlagevermögens |  | 0525 Wertpapiere des Anlagevermögens;0530 Wertpapiere mit Gewinnbeteiligungsansprüchen, die dem Teilinkünfteverfahren unterliegen;0535 Festverzinsliche Wertpapiere;0538 Anteile einer GmbH & Co. KG an einer Komplementär-GmbH |
| Sonstige Ausleihungen |  | 0540 Übrige sonstige Ausleihungen;0550 Darlehen |
| Genossenschaftsanteile |  | 0570 Genossenschaftsanteile zum langfristigen Verbleib |
| Sonstige Ausleihungen |  | 0580 Ausleihungen an Gesellschafter;0582 Ausleihungen an GmbH-Gesellschafter;0583 ;0584 Ausleihungen an persönlich haftende Gesellschafter;0586 Ausleihungen an Kommanditisten;0590 Ausleihungen an nahe stehende Personen |
| Rückdeckungsansprüche aus Lebensversicherungen |  | 0595 Rückdeckungsansprüche aus Lebensversicherungen zum langfristigen Verbleib |
|  |  | Verbindlichkeiten |
| Anleihen |  | 0600 Anleihen nicht konvertibel;0601 - Restlaufzeit bis 1 Jahr;0605 - Restlaufzeit 1 bis 5 Jahre;0610 - Restlaufzeit größer 5 Jahre;0615 Anleihen konvertibel;0616 - Restlaufzeit bis 1 Jahr;0620 - Restlaufzeit 1 bis 5 Jahre;0625 - Restlaufzeit größer 5 Jahre |
| Verbindlichkeiten gegenüber Kreditinstituten oder Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks |  | 0630 Verbindlichkeiten gegenüber Kreditinstituten;0631 - Restlaufzeit bis 1 Jahr;0640 - Restlaufzeit 1 bis 5 Jahre;0650 - Restlaufzeit größer 5 Jahre;0660 Verbindlichkeiten gegenüber Kreditinstituten aus Teilzahlungsverträgen;0661 - Restlaufzeit bis 1 Jahr;0670 - Restlaufzeit 1 bis 5 Jahre;0680 - Restlaufzeit größer 5 Jahre;0690 Verbindlichkeiten gegenüber Kreditinstituten, vor Restlaufzeitdifferenzierung |
| Verbindlichkeiten gegenüber Kreditinstituten |  | 0699 Gegenkonto 0630-0689 bei Aufteilung der Konten 0690-0698 |
| Verbindlichkeiten gegenüber verbundenen Unternehmen oder Forderungen gegen verbundene Unternehmen |  | 0700 Verbindlichkeiten gegenüber verbundenen Unternehmen; 0701 - Restlaufzeit bis 1 Jahr; 0705 - Restlaufzeit 1 bis 5 Jahre; 0710 - Restlaufzeit größer 5 Jahre |
| Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht oder Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht |  | 0715 Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht; 0716 - Restlaufzeit bis 1 Jahr; 0720 - Restlaufzeit 1 bis 5 Jahre; 0725 - Restlaufzeit größer 5 Jahre |
| Sonstige Verbindlichkeiten |  | 0730 Verbindlichkeiten gegenüber Gesellschaftern; 0731 - Restlaufzeit bis 1 Jahr; 0740 - Restlaufzeit 1 bis 5 Jahre; 0750 - Restlaufzeit größer 5 Jahre; 0755 Verbindlichkeiten gegenüber Gesellschaftern für offene Ausschüttungen; 0760 Verbindlichkeiten gegenüber typisch stillen Gesellschaftern; 0761 - Restlaufzeit bis 1 Jahr; 0764 - Restlaufzeit 1 bis 5 Jahre; 0767 - Restlaufzeit größer 5 Jahre; 0770 Verbindlichkeiten gegenüber atypisch stillen Gesellschaftern; 0771 - Restlaufzeit bis 1 Jahr; 0774 - Restlaufzeit 1 bis 5 Jahre; 0777 - Restlaufzeit größer 5 Jahre; 0780 Partiarische Darlehen; 0781 - Restlaufzeit bis 1 Jahr; 0784 - Restlaufzeit 1 bis 5 Jahre; 0787 - Restlaufzeit größer 5 Jahre; 0790 Sonstige Verbindlichkeiten, vor Restlaufzeitdifferenzierung (nur Bilanzierer); 0799 Gegenkonto 0730-0789 und 1665-1678 und 1695-1698 bei Aufteilung der Konten 0790-0798 |
|  |  | Kapital Kapitalgesellschaft |
| Gezeichnetes Kapital | K | 0800 Gezeichnetes Kapital |
| Gezeichnetes Kapital | K | 0809 Kapitalerhöhung aus Gesellschaftsmitteln |
|  | K | 0810 Geschäftsguthaben der verbleibenden Mitglieder; 0811 Geschäftsguthaben der ausscheidenden Mitglieder; 0812 Geschäftsguthaben aus gekündigten Geschäftsanteilen; 0813 Rückständige fällige Einzahlungen auf Geschäftsanteile, vermerkt; 0815 Gegenkonto Rückständige fällige Einzahlungen auf Geschäftsanteile, vermerkt |
| Eigene Anteile | K | 0819 Erworbene eigene Anteile |
| Nicht eingeforderte ausstehende Einlagen | | 0820-29 Ausstehende Einlagen auf das gezeichnete Kapital, nicht eingefordert (Passivausweis, vom gezeichneten Kapital offen abgesetzt; eingeforderte ausstehende Einlagen s. Konten 0830-0838) |
| Eingeforderte, noch ausstehende Kapitaleinlagen | | 0830-38 Ausstehende Einlagen auf das gezeichnete Kapital, eingefordert (Forderungen, nicht eingeforderte ausstehende Einlagen s. Konten 0820-0829) |
| Nachschüsse | | 0839 Nachschüsse (Forderungen, Gegenkonto 0845) |
| | | Kapitalrücklage |
| Kapitalrücklage | K; K; K; K; K | 0840 Kapitalrücklage; 0841 Kapitalrücklage durch Ausgabe von Anteilen über Nennbetrag; 0842 Kapitalrücklage durch Ausgabe von Schuldverschreibungen für Wandlungsrechte und Optionsrechte zum Erwerb von Anteilen; 0843 Kapitalrücklage durch Zuzahlungen gegen Gewährung eines Vorzugs für Anteile; 0844 Kapitalrücklage durch andere Zuzahlungen in das Eigenkapital; 0845 Nachschusskapital (Gegenkonto 0839) |
| | | Gewinnrücklagen |
| Gesetzliche Rücklage | K | 0846 Gesetzliche Rücklage |
| Andere Gewinnrücklagen | K | 0848 Andere Gewinnrücklagen aus dem Erwerb eigener Anteile |
| Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen | | 0849 Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen |
| Satzungsmäßige Rücklagen | K | 0851 Satzungsmäßige Rücklagen |
| | K | 0852 Andere Ergebnisrücklagen |
| Andere Gewinnrücklagen | K; HB; K; HB; K; K; HB | 0853 Gewinnrücklagen aus den Übergangsvorschriften BilMoG; 0854 Gewinnrücklagen aus den Übergangsvorschriften BilMoG (Zuschreibung Sachanlagevermögen); 0855 Andere Gewinnrücklagen; 0856 Eigenkapitalanteil von Wertaufholungen; 0857 Gewinnrücklagen aus den Übergangsvorschriften BilMoG (Zuschreibung Finanzanlagevermögen) |
| Andere Gewinnrücklagen | K | 0858 Gewinnrücklagen aus den Übergangsvorschriften BilMoG (Auflösung der Sonderposten mit Rücklageanteil);0859 Latente Steuern (Gewinnrücklage Haben) aus erfolgsneutralen Verrechnungen |
|                        |   |   |
|                        |   |   |
|                        |   |   |
|                        |   |   |
| Gewinnvortrag o. Verlustvortrag | K | 0860 Gewinnvortrag vor Verwendung |
|                        | F 0865 | Gewinnvortrag vor Verwendung (mit Aufteilung für Kapitalkontenentwicklung) |
|                        | F 0867 | Verlustvortrag vor Verwendung (mit Aufteilung für Kapitalkontenentwicklung) |
| Gewinnvortrag o. Verlustvortrag | K | 0868 Verlustvortrag vor Verwendung |
|                        |   | Kapital; Eigenkapital Vollhafter/Einzelunternehmer; F 0870 Festkapital; F 0871 Kapital (fester Anteil, nur Einzelunternehmen); F 0880 Variables Kapital; F 0881 Kapital (variabler Anteil, nur Einzelunternehmen); Fremdkapital Vollhafter; F 0890 Gesellschafter-Darlehen; R 0891 -99; Eigenkapital Teilhafter; F 0900 Kommandit-Kapital; R 0901 -09; F 0910 Verlustausgleichskonto; R 0911 -19; Fremdkapital Teilhafter; F 0920 Gesellschafter-Darlehen; R 0921 -29; Sonderposten mit Rücklageanteil |
| Sonderposten mit Rücklageanteil | SB | 0930 Übrige andere Sonderposten;0931 Steuerfreie Rücklagen nach § 6b EStG;0932 Rücklage für Ersatzbeschaffung;0940 Sonderposten mit Rücklageanteil, Sonderabschreibungen;0945 Ausgleichsposten bei Entnahmen § 4g EStG;0946 Rücklage für Zuschüsse;0947 Sonderposten mit Rücklageanteil nach § 7g Abs. 5 EStG |
| Sonderposten für Zuschüsse und Zulagen | HB | 0948 Sonderposten für Zuschüsse Dritter;0949 Sonderposten für Investitionszulagen |
|  |  | 0950 Rückstellungen für Pensionen und ähnliche Verpflichtungen |
| Rückstellungen für Pensionen und ähnliche Verpflichtungen |  | 0951 Rückstellungen für Pensionen und ähnliche Verpflichtungen zur Saldierung mit Vermögensgegenständen zum langfristigen Verbleib nach § 246 Abs. 2 HGB |
| Rückstellungen für Pensionen und ähnliche Verpflichtungen oder aktiver Unterschiedsbetrag aus der Vermögensverrechnung | HB | 0952 Rückstellungen für Pensionen und ähnliche Verpflichtungen gegenüber Gesellschaftern oder nahe stehenden Personen;0953 Rückstellungen für Direktzusagen;0954 Rückstellungen für Zuschussverpflichtungen für Pensionskassen und Lebensversicherungen |
| Rückstellungen für Pensionen und ähnliche Verpflichtungen |  | 0955 Steuerrückstellungen;0956 Gewerbesteuerrückstellung nach § 4 Abs. 5b EStG |
| Steuerrückstellungen |  | 0961 Urlaubsrückstellungen |
| Sonstige Rückstellungen |  | 0962 Steuerrückstellung aus Steuerstundung (BStBK);0963 Körperschaftsteuerückstellung |
| Steuerrückstellungen |  | 0964 Rückstellungen für mit der Altersversorgung vergleichbare langfristige Verpflichtungen zum langfristigen Verbleib;0965 Rückstellungen für Personalkosten;0966 Rückstellungen zur Erfüllung der Aufbewahrungspflichten |
| Sonstige Rückstellungen |  | 0967 Rückstellungen für mit der Altersversorgung vergleichbare langfristige Verpflichtungen zur Saldierung mit Vermögensgegenständen zum langfristigen Verbleib nach § 246 Abs. 2 HGB |
| Sonstige Rückstellungen oder aktiver Unterschiedsbetrag aus der Vermögensverrechnung | HB | 0968 Passive latente Steuern |
| Passive latente Steuern | HB | 0969 Rückstellung für latente Steuern |
| Steuerrückstellungen | HB |  |
| Sonstige Rückstellungen |  | 0970 Sonstige Rückstellungen;0971 Rückstellungen für unterlassene Aufwendungen für Instandhaltung, Nachholung in den ersten drei Monaten;0973 Rückstellungen für Abraun- und Abfallbeseitigung;0974 Rückstellungen für Gewährleistungen (Gegenkonto 4790);0976 Rückstellungen für drohende Verluste aus schwebenden Geschäften;0977 Rückstellungen für Abschluss- und Prüfungskosten;0978 Aufwandsrückstellungen nach § 249 Abs. 2 HGB a. F.;0979 Rückstellungen für Umweltschutz |
|  | HB |  |
|  | HB |  |
|  |  | Abgrenzungsposten |
| Rechnungsabgrenzungsposten (Aktiva) |  | 0980 Aktive Rechnungsabgrenzung |
|  |  |  |
| Aktive latente Steuern | HB | 0983 Aktive latente Steuern |
| Rechnungsabgrenzungsposten (Aktiva) | SB | 0984 Als Aufwand berücksichtigte Zölle und Verbrauchsteuern auf Vorräte;0985 Als Aufwand berücksichtigte Umsatzsteuer auf Anzahlungen;0986 Damnum/Disagio |
|  | SB |  |
| Andere Gewinnrücklagen | K | 0987 Rechnungsabgrenzungsposten (Gewinnrücklage Soll) aus erfolgsneutralen Verrechnungen;0988 Latente Steuern (Gewinnrücklage Soll) aus erfolgsneutralen Verrechnungen |
|  | HB |  |
|  | K |  |
|  | HB |  |
|  | F | 0989 Gesamthänderisch gebundene Rücklagen (mit Aufteilung für Kapitalkontenentwicklung) |
| Rechnungsabgrenzungsposten (Passiva) |  | 0990 Passive Rechnungsabgrenzung |
| Sonstige Aktiva oder sonstige Passiva |  | 0992 Abgrenzungen unterjährig pauschal gebuchter Abschreibungen für BWA |
| Forderungen aus Lieferungen und Leistungen H-Saldo |  | 0996 Pauschalwertberichtigung auf Forderungen - Restlaufzeit bis zu 1 Jahr;0997 - Restlaufzeit größer 1 Jahr;0998 Einzelwertberichtigungen auf Forderungen - Restlaufzeit bis zu 1 Jahr;0999 - Restlaufzeit größer 1 Jahr |
|  |  | KU 1000-1371; V 1372; KU 1373-1509; V 1510-1512; KU 1513-1516; V 1517-1518; KU 1519-1709; M 1710-1712; KU 1713-1716; M 1717-1724; KU 1725-1868; V 1869; KU 1870-1878; M 1879; KU 1880-1999 |
|  |  | Kassenbestand, Bundesbank- und Postbankguthaben, Guthaben bei Kreditinstituten und Schecks |
| Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks |  | F 1000 Kasse; F 1010 Nebenkasse 1; F 1020 Nebenkasse 2 |
| Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten |  | F 1100 Bank (Postbank); F 1110 Bank (Postbank 1); F 1120 Bank (Postbank 2); F 1130 Bank (Postbank 3); F 1190 LZB-Guthaben; F 1195 Bundesbankguthaben; F 1200 Bank; F 1210 Bank 1; F 1220 Bank 2; F 1230 Bank 3; F 1240 Bank 4; F 1250 Bank 5; R 1289; 1290 Finanzmittelanlagen im Rahmen der kurzfristigen Finanzdisposition (nicht im Finanzmittelfonds enthalten); 1295 Verbindlichkeiten gegenüber Kreditinstituten (nicht im Finanzmittelfonds enthalten) |
| Forderungen aus Lieferungen und Leistungen oder sonstige Verbindlichkeiten |  | R 1300-09 |
| Forderungen gegen verbundene Unternehmen oder Verbindlichkeiten gegenüber verbundenen Unternehmen |  | R 1310-19 |
| Forderungen gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht oder Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht |        | R 1320 -26 |
| Sonstige Wertpapiere                                                                                     |        | R 1327 -28;1329 Andere Wertpapiere mit unwesentlichen Wertschwankungen |
| Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks                              |        | F 1330 Schecks |
|                                                                                                          |        | Wertpapiere |
| Anteile an verbundenen Unternehmen                                                                       |        | 1340 Anteile an verbundenen Unternehmen (Umlaufvermögen);1344 Anteile an herrschender oder mit Mehrheit beteiligter Gesellschaft |
| Sonstige Wertpapiere                                                                                     |        | 1348 Sonstige Wertpapiere;1349 Wertpapieranlagen im Rahmen der kurzfristigen Finanzdisposition |
|                                                                                                          |        | Forderungen und sonstige Vermögensgegenstände |
| Sonstige Vermögensgegenstände                                                                            | SB     | 1350 GmbH-Anteile zum kurzfristigen Verbleib;1352 Genossenschaftsanteile zum kurzfristigen Verbleib;1353 Vermögensgegenstände zur Erfüllung von mit der Altersversorgung vergleichbaren langfristigen Verpflichtungen |
| Aktiver Unterschiedsbetrag aus der Vermögensverrechnung oder sonstige Rückstellungen                     | HB     | 1354 Vermögensgegenstände zur Saldierung mit der Altersversorgung vergleichbaren langfristigen Verpflichtungen nach § 246 Abs. 2 HGB |
| Sonstige Vermögensgegenstände                                                                            | SB     | 1355 Ansprüche aus Rückdeckungsversicherungen;1356 Vermögensgegenstände zur Erfüllung von Pensionsrückstellungen und ähnlichen Verpflichtungen zum langfristigen Verbleib |
| Aktiver Unterschiedsbetrag aus der Vermögensverrechnung oder Rückstellungen für Pensionen und ähnliche Verpflichtungen | HB     | 1357 Vermögensgegenstände zur Saldierung mit Pensionsrückstellungen und ähnlichen Verpflichtungen zum langfristigen Verbleib nach § 246 Abs. 2 HGB;F 1358 -59 |
| Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten | EUR | F 1360 Geldtransit; F 1371 Verrechnungskonto Gewinnermittlung § 4 Abs. 3 EStG, nicht ergebniswirksam; 1372 Wirtschaftsgüter des Umlaufvermögens nach § 4 Abs. 3 Satz 4 EStG |
| Sonstige Vermögensgegenstände |  | R 1373; -75; 1376 Forderungen gegen typisch stille Gesellschafter; 1377 - Restlaufzeit bis 1 Jahr; 1378 - Restlaufzeit größer 1 Jahr; R 1379 |
| Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten |  | 1380 Überleitungskonto Kostenstelle |
| Sonstige Vermögensgegenstände |  | 1381 Forderungen gegen GmbH-Gesellschafter; 1382 - Restlaufzeit bis 1 Jahr; 1383 - Restlaufzeit größer 1 Jahr; 1385 Forderungen gegen persönlich haftende Gesellschafter; 1386 - Restlaufzeit bis 1 Jahr; 1387 - Restlaufzeit größer 1 Jahr |
|  |  | 1389 Ansprüche aus betrieblicher Altersversorgung und Pensionsansprüche (Mitunternehmer) |
| Sonstige Vermögensgegenstände oder sonstige Verbindlichkeiten |  | F 1390 Verrechnungskonto Ist-Versteuerung |
|  | EUR | F 1391 Neutralisierung ertragswirksamer Sachverhalte für § 4 Abs. 3 EStG |
|  | SB | 1394 Forderungen gegen Gesellschaft/Gesamthand |
| Forderungen aus Lieferungen und Leistungen oder sonstige Verbindlichkeiten |  | S 1400 Forderungen aus Lieferungen und Leistungen; R 1401 Forderungen aus Lieferungen und Leistungen; -06 Leistungen; F 1410 Forderungen aus Lieferungen und Leistungen ohne Kontokorrent; -44 Leistungen ohne Kontokorrent |
|  | EUR | F 1445 Forderungen aus Lieferungen und Leistungen zum allgemeinen Umsatzsteuersatz oder eines Kleinunternehmers (EUR) |
|  | EUR | F 1446 Forderungen aus Lieferungen und Leistungen zum ermäßigten Umsatzsteuersatz (EUR) |
|  | EUR | F 1447 Forderungen aus steuerfreien oder nicht steuerbaren Lieferungen und Leistungen (EUR) |
|  | EUR | F 1448 Forderungen aus Lieferungen und Leistungen nach Durchschnittssätzen nach § 24 UStG (EUR) |
|  | EUR | F 1449 Gegenkonto 1445-1448 bei Aufteilung der Forderungen nach Steuersätzen (EUR) |
| Forderungen aus Lieferungen und Leistungen oder sonstige Verbindlichkeiten | EUR | F 1450 Forderungen nach § 11 Abs. 1 Satz 2 EStG für § 4 Abs. 3 EStG; F 1451 Forderungen aus Lieferungen und Leistungen ohne Kontokorrent - Restlaufzeit bis 1 Jahr; F 1455 - Restlaufzeit größer 1 Jahr; F 1460 Zweifelhafte Forderungen; F 1461 - Restlaufzeit bis 1 Jahr; F 1465 - Restlaufzeit größer 1 Jahr |
| Forderungen gegen verbundene Unternehmen oder Verbindlichkeiten gegenüber verbundenen Unternehmen |  | F 1470 Forderungen aus Lieferungen und Leistungen gegen verbundene Unternehmen; F 1471 - Restlaufzeit bis 1 Jahr; F 1475 - Restlaufzeit größer 1 Jahr |
| Forderungen gegen verbundene Unternehmen H-Saldo |  | 1478 Wertberichtigungen auf Forderungen gegen verbundene Unternehmen - Restlaufzeit bis 1 Jahr; 1479 - Restlaufzeit größer 1 Jahr |
| Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht oder Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht |  | F 1480 Forderungen aus Lieferungen und Leistungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht; F 1481 - Restlaufzeit bis 1 Jahr; F 1485 - Restlaufzeit größer 1 Jahr |
| Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht H-Saldo |  | 1488 Wertberichtigungen auf Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht - Restlaufzeit bis 1 Jahr; 1489 - Restlaufzeit größer 1 Jahr |
| Forderungen aus Lieferungen und Leistungen oder sonstige Verbindlichkeiten |  | F 1490 Forderungen aus Lieferungen und Leistungen gegen Gesellschafter; F 1491 - Restlaufzeit bis 1 Jahr; F 1495 - Restlaufzeit größer 1 Jahr |
| Forderungen aus Lieferungen und Leistungen H-Saldo |  | 1498 Gegenkonto zu sonstigen Vermögensgegenständen bei Buchungen über Debitorenkonto |
| Forderungen aus Lieferungen und Leistungen H-Saldo oder sonstige Verbindlichkeiten S-Saldo |  | 1499 Gegenkonto 1451-1497 bei Aufteilung Debitorenkonto |
| Sonstige Vermögensgegenstände |  | **1500 Sonstige Vermögensgegenstände**; 1501 - Restlaufzeit bis 1 Jahr; 1502 - Restlaufzeit größer 1 Jahr; 1503 Forderungen gegen Vorstandsmitglieder und Geschäftsführer - Restlaufzeit bis 1 Jahr; 1504 - Restlaufzeit größer 1 Jahr |
| Sonstige Vermögensgegenstände |  | 1505 Forderungen gegen Aufsichtsrats- und Beiratsmitglieder - Restlaufzeit bis 1 Jahr; 1506 - Restlaufzeit größer 1 Jahr; 1507 Forderungen gegen sonstige Gesellschafter - Restlaufzeit bis 1 Jahr; 1508 - Restlaufzeit größer 1 Jahr |
|  | Geleistete Anzahlungen | 1510 Geleistete Anzahlungen auf Vorräte; AV 1511 Geleistete Anzahlungen, 7 % Vorsteuer; AV 1512 Geleistete Anzahlungen, 5 % Vorsteuer; R 1513 -16; AV 1517 Geleistete Anzahlungen, 16 % Vorsteuer; AV 1518 Geleistete Anzahlungen, 19 % Vorsteuer |
| Sonstige Vermögensgegenstände |  | 1519 Forderungen gegen Arbeitsgemeinschaften; 1520 Forderungen gegenüber Krankenkassen aus Aufwendungsausgleichsgesetz; 1521 Agenturwarenabrechnung; 1522 Genussrechte; 1524 Einzahlungsansprüche zu Nebenleistungen oder Zuzahlungen; 1525 Kautionen; 1526 - Restlaufzeit bis 1 Jahr; 1527 - Restlaufzeit größer 1 Jahr |
