# This file was automatically generated by Contrib::SKR03Mapping::Generators::ClassificationJsonBuilder
# Columns: code; flags; range; cid; presentation_rule; description
0044;;;b.aktiva.anlagevermoegen.immaterielle_vermoegensgegenstaende.selbst_geschaffene_gewerbliche_schutzrechte_und_aehnliche_re;unknown;EDV-Software
0045;;;b.aktiva.anlagevermoegen.immaterielle_vermoegensgegenstaende.selbst_geschaffene_gewerbliche_schutzrechte_und_aehnliche_re;unknown;Lizenzen und Franchiseverträge
0046;;;b.aktiva.anlagevermoegen.immaterielle_vermoegensgegenstaende.selbst_geschaffene_gewerbliche_schutzrechte_und_aehnliche_re;unknown;Konzessionen und gewerbliche Schutzrechte
0047;;;b.aktiva.anlagevermoegen.immaterielle_vermoegensgegenstaende.selbst_geschaffene_gewerbliche_schutzrechte_und_aehnliche_re;unknown;Rezepte, Verfahren, Prototypen
0048;;;b.aktiva.anlagevermoegen.immaterielle_vermoegensgegenstaende.selbst_geschaffene_gewerbliche_schutzrechte_und_aehnliche_re;unknown;Immaterielle Vermögensgegenstände in Entwicklung
0050;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken
0059;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Grundstücksanteil des häuslichen Arbeitszimmers
0060;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Grundstücksgleiche Rechte ohne Bauten
0065;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Unbebaute Grundstücke
0070;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke)
0075;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Grundstücke mit Substanzverzehr
0079;;;b.aktiva.anlagevermoegen.sachanlagen.geleistete_anzahlungen_und_anlagen_im_bau;unknown;Anzahlungen auf Grund und Boden
0080;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten
0085;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Grundstückswerte eigener bebauter Grundstücke
0090;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Geschäfts­bauten
0100;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Fabrikbauten
0110;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Garagen
0111;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Außenanlagen für Geschäfts-, Fabrik- und andere Bauten
0112;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Hof- und Wegebefestigungen
0113;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Einrichtungen für Geschäfts-, Fabrik- und andere Bauten
0115;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Andere Bauten
0120;;;b.aktiva.anlagevermoegen.sachanlagen.geleistete_anzahlungen_und_anlagen_im_bau;unknown;Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken
0129;;;b.aktiva.anlagevermoegen.sachanlagen.geleistete_anzahlungen_und_anlagen_im_bau;unknown;Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken
0140;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Wohnbauten
0145;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Garagen
0146;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Außenanlagen
0147;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Hof- und Wegebefestigungen
0148;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Einrichtungen für Wohnbauten
0149;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Gebäudeteil des häuslichen Arbeitszimmers
0150;;;b.aktiva.anlagevermoegen.sachanlagen.geleistete_anzahlungen_und_anlagen_im_bau;unknown;Wohnbauten im Bau auf eigenen Grundstücken
0159;;;b.aktiva.anlagevermoegen.sachanlagen.geleistete_anzahlungen_und_anlagen_im_bau;unknown;Anzahlungen auf Wohnbauten auf eigenen Grundstücken
0160;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Bauten auf fremden Grundstücken
0165;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Geschäftsbauten
0170;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Fabrikbauten
0175;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Garagen
0176;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Außenanlagen
0177;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Hof- und Wegebefestigungen
0178;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Einrichtungen für Geschäfts-, Fabrik-, Wohn- und andere Bauten
0179;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Andere Bauten
0180;;;b.aktiva.anlagevermoegen.sachanlagen.geleistete_anzahlungen_und_anlagen_im_bau;unknown;Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken
0189;;;b.aktiva.anlagevermoegen.sachanlagen.geleistete_anzahlungen_und_anlagen_im_bau;unknown;Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf fremden Grundstücken
0190;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Wohnbauten
0191;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Garagen
0192;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Außenanlagen
0193;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Hof- und Wegebefestigungen
0194;;;b.aktiva.anlagevermoegen.sachanlagen.grundstuecke_grundstuecksgleiche_rechte_und_bauten_einschlie;unknown;Einrichtungen für Wohnbauten
0195;;;b.aktiva.anlagevermoegen.sachanlagen.geleistete_anzahlungen_und_anlagen_im_bau;unknown;Wohnbauten im Bau auf fremden Grundstücken
0199;;;b.aktiva.anlagevermoegen.sachanlagen.geleistete_anzahlungen_und_anlagen_im_bau;unknown;Anzahlungen auf Wohnbauten auf fremden Grundstücken
0210;;;b.aktiva.anlagevermoegen.sachanlagen.technische_anlagen_und_maschinen;unknown;Maschinen
0220;;;b.aktiva.anlagevermoegen.sachanlagen.technische_anlagen_und_maschinen;unknown;Maschinengebundene Werkzeuge
0240;;;b.aktiva.anlagevermoegen.sachanlagen.technische_anlagen_und_maschinen;unknown;Technische Anlagen
0260;;;b.aktiva.anlagevermoegen.sachanlagen.technische_anlagen_und_maschinen;unknown;Transportanlagen und Ähnliches
0280;;;b.aktiva.anlagevermoegen.sachanlagen.technische_anlagen_und_maschinen;unknown;Betriebsvorrichtungen
0290;;;b.aktiva.anlagevermoegen.sachanlagen.geleistete_anzahlungen_und_anlagen_im_bau;unknown;Technische Anlagen und Maschinen im Bau
0299;;;b.aktiva.anlagevermoegen.sachanlagen.geleistete_anzahlungen_und_anlagen_im_bau;unknown;Anzahlungen auf technische Anlagen und Maschinen
0300;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Andere Anlagen, Betriebs- und Geschäftsausstattung
0310;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Andere Anlagen
0320;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Pkw
0350;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Lkw
0380;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Sonstige Transportmittel
0400;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Betriebsausstattung
0410;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Geschäftsausstattung
0420;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Büroeinrichtung
0430;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Ladeneinrichtung
0440;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Werkzeuge
0450;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Einbauten in fremde Grundstücke
0460;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Gerüst- und Schalungsmaterial
0480;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Geringwertige Wirtschaftsgüter
0485;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Wirtschaftsgüter (Sammelposten)
0490;;;b.aktiva.anlagevermoegen.sachanlagen.andere_anlagen_betriebs_und_geschaeftsausstattung;unknown;Sonstige Betriebs- und Geschäftsausstattung
0498;;;b.aktiva.anlagevermoegen.sachanlagen.geleistete_anzahlungen_und_anlagen_im_bau;unknown;Andere Anlagen, Betriebs- und Geschäftsausstattung im Bau
0499;;;b.aktiva.anlagevermoegen.sachanlagen.geleistete_anzahlungen_und_anlagen_im_bau;unknown;Anzahlungen auf andere Anlagen, Betriebs- und Geschäftsausstattung
0500;;;b.aktiva.umlaufvermoegen.wertpapiere.anteile_an_verbundenen_unternehmen_2;unknown;Anteile an verbundenen Unternehmen (Anlagevermögen)
0501;;;b.aktiva.umlaufvermoegen.wertpapiere.anteile_an_verbundenen_unternehmen_2;unknown;Anteile an verbundenen Unternehmen, Personengesellschaften
0502;;;b.aktiva.umlaufvermoegen.wertpapiere.anteile_an_verbundenen_unternehmen_2;unknown;Anteile an verbundenen Unternehmen, Kapitalgesellschaften
0503;;;b.aktiva.umlaufvermoegen.wertpapiere.anteile_an_verbundenen_unternehmen_2;unknown;Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Kapitalgesellschaften
0504;;;b.aktiva.umlaufvermoegen.wertpapiere.anteile_an_verbundenen_unternehmen_2;unknown;Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft
0505;;;b.aktiva.anlagevermoegen.finanzanlagen.ausleihungen_an_verbundene_unternehmen;unknown;Ausleihungen an verbundene Unternehmen
0506;;;b.aktiva.anlagevermoegen.finanzanlagen.ausleihungen_an_verbundene_unternehmen;unknown;Ausleihungen an verbundene Unternehmen, Personengesellschaften
0507;;;b.aktiva.anlagevermoegen.finanzanlagen.ausleihungen_an_verbundene_unternehmen;unknown;Ausleihungen an verbundene Unternehmen, Kapitalgesellschaften
0508;;;b.aktiva.anlagevermoegen.finanzanlagen.ausleihungen_an_verbundene_unternehmen;unknown;Ausleihungen an verbundene Unternehmen, Einzelunternehmen
0509;;;b.aktiva.umlaufvermoegen.wertpapiere.anteile_an_verbundenen_unternehmen_2;unknown;Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Personengesellschaften
0510;;;b.aktiva.anlagevermoegen.finanzanlagen.beteiligungen;unknown;Beteiligungen
0513;;;b.aktiva.anlagevermoegen.finanzanlagen.beteiligungen;unknown;Typisch stille Beteiligungen
0516;;;b.aktiva.anlagevermoegen.finanzanlagen.beteiligungen;unknown;Atypisch stille Beteiligungen
0517;;;b.aktiva.anlagevermoegen.finanzanlagen.beteiligungen;unknown;Beteiligungen an Kapitalgesellschaften
0518;;;b.aktiva.anlagevermoegen.finanzanlagen.beteiligungen;unknown;Beteiligungen an Personengesellschaften
0519;;;b.aktiva.anlagevermoegen.finanzanlagen.beteiligungen;unknown;Beteiligung einer GmbH & Co. KG an einer Komplementär GmbH
0520;;;b.aktiva.anlagevermoegen.finanzanlagen.ausleihungen_an_unternehmen_mit_denen_ein_beteiligungsverhae;unknown;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht
0523;;;b.aktiva.anlagevermoegen.finanzanlagen.ausleihungen_an_unternehmen_mit_denen_ein_beteiligungsverhae;unknown;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Personengesellschaften
0524;;;b.aktiva.anlagevermoegen.finanzanlagen.ausleihungen_an_unternehmen_mit_denen_ein_beteiligungsverhae;unknown;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Kapitalgesellschaften
0525;;;b.aktiva.anlagevermoegen.finanzanlagen.wertpapiere_des_anlagevermoegens;asset_only;Wertpapiere des Anlagevermögens
0530;;;b.aktiva.anlagevermoegen.finanzanlagen.wertpapiere_des_anlagevermoegens;asset_only;Wertpapiere mit Gewinnbeteiligungsansprüchen, die dem Teilinkünfteverfahren unterliegen
0535;;;b.aktiva.anlagevermoegen.finanzanlagen.wertpapiere_des_anlagevermoegens;asset_only;Festverzinsliche Wertpapiere
0538;;;b.aktiva.anlagevermoegen.finanzanlagen.wertpapiere_des_anlagevermoegens;asset_only;Anteile einer GmbH & Co. KG an einer Komplementär-GmbH
0540;;;b.aktiva.anlagevermoegen.finanzanlagen.sonstige_ausleihungen;unknown;Übrige sonstige Ausleihungen
0550;;;b.aktiva.anlagevermoegen.finanzanlagen.sonstige_ausleihungen;unknown;Darlehen
0570;;;;unknown;Genossenschaftsanteile zum langfristigen Verbleib
0580;;;b.aktiva.anlagevermoegen.finanzanlagen.sonstige_ausleihungen;unknown;Ausleihungen an Gesellschafter
0582;;;b.aktiva.anlagevermoegen.finanzanlagen.sonstige_ausleihungen;unknown;Ausleihungen an GmbH-Gesellschafter
0584;;;b.aktiva.anlagevermoegen.finanzanlagen.sonstige_ausleihungen;unknown;Ausleihungen an persönlich haftende Gesellschafter
0586;;;b.aktiva.anlagevermoegen.finanzanlagen.sonstige_ausleihungen;unknown;Ausleihungen an Kommanditisten
0590;;;b.aktiva.anlagevermoegen.finanzanlagen.sonstige_ausleihungen;unknown;Ausleihungen an nahe stehende Personen
0595;;;;unknown;Rückdeckungsansprüche aus Lebensversicherungen zum langfristigen Verbleib
0600;;;b.passiva.verbindlichkeiten.anleihen_davon_konvertibel;unknown;Anleihen nicht konvertibel
0601;;;b.passiva.verbindlichkeiten.anleihen_davon_konvertibel;unknown;- Restlaufzeit bis 1 Jahr
0605;;;b.passiva.verbindlichkeiten.anleihen_davon_konvertibel;unknown;- Restlaufzeit 1 bis 5 Jahre
0610;;;b.passiva.verbindlichkeiten.anleihen_davon_konvertibel;unknown;- Restlaufzeit größer 5 Jahre
0615;;;b.passiva.verbindlichkeiten.anleihen_davon_konvertibel;unknown;Anleihen konvertibel
0616;;;b.passiva.verbindlichkeiten.anleihen_davon_konvertibel;unknown;- Restlaufzeit bis 1 Jahr
0620;;;b.passiva.verbindlichkeiten.anleihen_davon_konvertibel;unknown;- Restlaufzeit 1 bis 5 Jahre
0625;;;b.passiva.verbindlichkeiten.anleihen_davon_konvertibel;unknown;- Restlaufzeit größer 5 Jahre
0630;;;;needs_review;Verbindlichkeiten gegenüber Kreditinstituten 0631 - Restlaufzeit bis 1 Jahr
0640;;;;needs_review;- Restlaufzeit 1 bis 5 Jahre
0650;;;;needs_review;- Restlaufzeit größer 5 Jahre
0660;;;;needs_review;Verbindlichkeiten gegenüber Kreditinstituten aus Teilzahlungsverträgen 0661 - Restlaufzeit bis 1 Jahr
0670;;;;needs_review;- Restlaufzeit 1 bis 5 Jahre
0680;;;;needs_review;- Restlaufzeit größer 5 Jahre
0690;;;;needs_review;Verbindlichkeiten gegenüber Kreditinstituten, vor Restlaufzeitdifferenzierung
0699;;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_kreditinstituten;liability_only;Gegenkonto 0630-0689 bei Aufteilung der Konten 0690-0698
0700;;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_verbundenen_unternehmen;payable_affiliated;Verbindlichkeiten gegenüber verbundenen Unternehmen
0701;;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_verbundenen_unternehmen;payable_affiliated;- Restlaufzeit bis 1 Jahr
0705;;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_verbundenen_unternehmen;payable_affiliated;- Restlaufzeit 1 bis 5 Jahre
0710;;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_verbundenen_unternehmen;payable_affiliated;- Restlaufzeit größer 5 Jahre
0715;;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_unternehmen_mit_denen_ein_betei;payable_beteiligung;Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht
0716;;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_unternehmen_mit_denen_ein_betei;payable_beteiligung;- Restlaufzeit bis 1 Jahr
0720;;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_unternehmen_mit_denen_ein_betei;payable_beteiligung;- Restlaufzeit 1 bis 5 Jahre
0725;;;b.passiva.verbindlichkeiten.verbindlichkeiten_gegenueber_unternehmen_mit_denen_ein_betei;payable_beteiligung;- Restlaufzeit größer 5 Jahre
0730;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten gegenüber Gesellschaftern 0731 - Restlaufzeit bis 1 Jahr
0740;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit 1 bis 5 Jahre
0750;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit größer 5 Jahre
0755;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten gegenüber Gesellschaftern für offene Ausschüttungen
0760;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten gegenüber typisch stillen Gesellschaftern 0761 - Restlaufzeit bis 1 Jahr
0764;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit 1 bis 5 Jahre
0767;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit größer 5 Jahre
0770;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Verbindlichkeiten gegenüber atypisch stillen Gesellschaftern 0771 - Restlaufzeit bis 1 Jahr
0774;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit 1 bis 5 Jahre
0777;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit größer 5 Jahre
0780;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Partiari sche Darlehen 0781 - Restlaufzeit bis 1 Jahr
0784;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit 1 bis 5 Jahre
0787;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;- Restlaufzeit größer 5 Jahre
0790;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Sonstige Verbindlichkeiten, vor Restlaufzeitdifferenzierung (nur Bilanzierer)
0799;;;b.passiva.verbindlichkeiten.sonstige_verbindlichkeiten_davon_aus_steuern_davon_im_rahmen;liability_only;Gegenkonto 0730-0789 und 1665-1678 und 1695-1698 bei Aufteilung der Konten 0790-0798
0800;;;;equity_only;Gezeichnetes Kapital
0809;;;;equity_only;Kapitalerhöhung aus Gesellschaftsmitteln
0810;;;;;Geschäftsguthaben der verbleibenden Mitglieder
0811;;;;;Geschäftsguthaben der ausscheidenden Mitglieder
0812;;;;;Geschäftsguthaben aus gekündigten Geschäftsanteilen
0813;;;;;Rückständige fällige Einzahlungen auf Geschäftsanteile, vermerkt
0815;;;;;Gegenkonto Rückständige fällige Einzahlungen auf Geschäftsanteile, vermerkt
0819;;;;unknown;Erworbene eigene Anteile
0820;;;;unknown;Ausstehende Einlagen auf das gezeichnete Kapital, nicht eingefordert (Passivausweis, vom gezeichneten Kapital offen abgesetzt. Eingeforderte ausstehende Einlagen s. Konten 0830-0838)
0830;;;;unknown;Ausstehende Einlagen auf das gezeichnete Kapital, eingefordert (Forderungen, nicht eingeforderte ausstehende Einlagen s. Konten 0820-0829)
0838;;;;unknown;
0839;;;;unknown;Nachschüsse (Forderungen, Gegenkonto 0845)
0840;;;;equity_only;Kapitalrücklage
0841;;;;equity_only;Kapitalrücklage durch Ausgabe von Anteilen über Nennbetrag
0842;;;;equity_only;Kapitalrücklage durch Ausgabe von Schuldverschreibungen für Wandlungsrechte und Optionsrechte zum Erwerb von Anteilen
0843;;;;equity_only;Kapitalrücklage durch Zuzahlungen gegen Gewährung eines Vorzugs für Anteile
0844;;;;equity_only;Kapitalrücklage durch andere Zuzahlungen in das Eigenkapital
0845;;;;equity_only;Nachschusskapital (Gegenkonto 0839)
0846;;;b.passiva.eigenkapital.gewinnruecklagen.gesetzliche_ruecklage;unknown;Gesetzliche Rücklage
0848;;;b.passiva.eigenkapital.gewinnruecklagen.andere_gewinnruecklagen;unknown;Andere Gewinnrücklagen aus dem Erwerb eigener Anteile
0849;;;b.passiva.eigenkapital.gewinnruecklagen.ruecklage_fuer_anteile_an_einem_herrschenden_oder_mehrheitli;needs_review;Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen
0851;;;b.passiva.eigenkapital.gewinnruecklagen.satzungsmaessige_ruecklagen;unknown;Satzungsmäßige Rücklagen
0852;;;;;Andere Ergebnisrücklagen
0853;;;b.passiva.eigenkapital.gewinnruecklagen.andere_gewinnruecklagen;unknown;Gewinnrücklagen aus den Übergangsvorschriften BilMoG
0854;;;b.passiva.eigenkapital.gewinnruecklagen.andere_gewinnruecklagen;unknown;Gewinnrücklagen aus den Übergangsvorschriften BilMoG (Zuschreibung Sachanlagevermögen)
0855;;;b.passiva.eigenkapital.gewinnruecklagen.andere_gewinnruecklagen;unknown;Andere Gewinnrücklagen
0856;;;b.passiva.eigenkapital.gewinnruecklagen.andere_gewinnruecklagen;unknown;Eigenkapitalanteil von Wertaufholungen
0857;;;b.passiva.eigenkapital.gewinnruecklagen.andere_gewinnruecklagen;unknown;Gewinnrücklagen aus den Übergangsvorschriften BilMoG (Zuschreibung Finanzanlagevermögen)
0858;;;b.passiva.eigenkapital.gewinnruecklagen.andere_gewinnruecklagen;unknown;Gewinnrücklagen aus den Übergangsvorschriften BilMoG (Auflösung der Sonderposten mit Rücklageanteil)
0859;;;b.passiva.eigenkapital.gewinnruecklagen.andere_gewinnruecklagen;unknown;Latente Steuern (Gewinnrücklage Haben) aus erfolgsneutralen Verrechnungen
0860;;;;needs_review;Gewinnvortrag vor Verwendung
0865;F;;;;Gewinnvortrag vor Verwendung (mit Aufteilung für Kapitalkontenentwicklung)
0867;F;;;;Verlustvortrag vor Verwendung (mit Aufteilung für Kapitalkontenentwicklung)
0868;;;;needs_review;Verlustvortrag vor Verwendung
0870;F;;;;Festkapital
0871;F;;;;Kapital (fester Anteil, nur Einzelunternehmer)
0880;F;;;;Variables Kapital
0881;F;;;;Kapital (variabler Anteil, nur Einzelunternehmer) Fremdkapital Vollhafter
